,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence,popularity
14178,190000,0.288,0.531,0.8540000000000001,0.0,10,0.0773,-3.149,1,0.198,94.419,4,0.456,1
1459,210106,0.8029999999999999,0.711,0.299,0.0,7,0.1159999999999999,-8.286,1,0.0394,125.068,4,0.5770000000000001,1
11305,184826,0.866,0.711,0.8029999999999999,0.87,2,0.231,-8.789,1,0.0391,99.64,4,0.957,0
7899,248519,0.183,0.6940000000000001,0.417,0.0,2,0.125,-6.853,0,0.0368,79.995,4,0.359,0
10624,192826,0.0618,0.618,0.8009999999999999,0.0,8,0.104,-5.76,1,0.212,83.936,4,0.706,0
13080,185013,0.00173,0.872,0.594,5.45e-05,1,0.0398,-5.473,1,0.0373,103.991,4,0.711,0
18818,175777,0.0128,0.214,0.148,0.0579999999999999,7,0.113,-17.775,1,0.037,46.591,4,0.0277,0
5371,168213,0.0399,0.74,0.703,5.69e-06,9,0.0378,-11.87,1,0.0576,106.878,4,0.816,0
9665,184986,0.0552,0.573,0.911,9e-06,7,0.583,-4.322,1,0.111,106.011,4,0.568,0
9272,381733,0.0296,0.875,0.644,0.908,2,0.0696,-11.55,1,0.0378,117.561,4,0.762,0
8996,213600,0.0242,0.789,0.861,0.139,0,0.3289999999999999,-5.351,1,0.114,99.971,4,0.411,0
8638,291893,0.153,0.7929999999999999,0.645,0.0,0,0.14,-6.234,1,0.064,145.945,4,0.336,0
18819,179067,0.57,0.58,0.469,0.0122,4,0.193,-10.02,1,0.0332,152.86700000000002,4,0.56,0
2196,515866,0.6,0.527,0.509,0.0,7,0.144,-10.893,1,0.0628,138.317,4,0.497,1
11756,231266,0.354,0.68,0.563,0.0,10,0.136,-5.843,1,0.0454,145.028,4,0.374,1
924,295600,0.245,0.42,0.33,0.000679,9,0.0677,-13.925,1,0.0275,157.143,3,0.175,1
14710,266680,0.148,0.8320000000000001,0.593,0.0,5,0.276,-6.013999999999999,0,0.0916,111.075,4,0.7290000000000001,0
4210,181906,0.498,0.349,0.41,0.0,7,0.113,-10.299,1,0.033,115.656,3,0.667,0
5345,171906,0.47,0.551,0.214,0.0,0,0.141,-16.631,0,0.0282,75.268,4,0.294,0
4556,350226,0.015,0.8029999999999999,0.753,0.0,4,0.204,-3.542,0,0.0625,129.998,4,0.557,1
117,241135,0.0652,0.8,0.8370000000000001,4.52e-05,7,0.0699,-4.488,1,0.099,105.026,4,0.813,0
5571,220000,0.133,0.6609999999999999,0.764,0.223,11,0.121,-6.857,1,0.0412,149.971,4,0.39,0
2185,198760,0.0611,0.679,0.5529999999999999,7.16e-06,3,0.139,-14.687,1,0.0316,109.071,4,0.946,0
16090,175400,0.833,0.6809999999999999,0.264,0.441,8,0.103,-21.861,1,0.0309,93.809,4,0.6920000000000001,0
4784,176521,0.108,0.654,0.58,0.0,2,0.123,-6.218,1,0.0266,120.954,4,0.532,0
15879,217925,0.0589,0.835,0.626,6e-05,1,0.396,-5.832999999999999,1,0.125,91.03,4,0.35,1
8502,165080,0.762,0.617,0.81,0.0,10,0.134,-6.513,1,0.0798,97.389,4,0.65,0
3351,252557,0.2289999999999999,0.926,0.711,3.06e-06,0,0.0595,-3.377,0,0.0468,125.083,4,0.9,0
13263,279280,0.0932,0.6409999999999999,0.525,0.000425,0,0.1119999999999999,-12.151,0,0.0437,104.002,4,0.5479999999999999,0
5747,208360,0.00796,0.57,0.921,0.442,3,0.6890000000000001,-5.686,0,0.0266,129.007,4,0.607,0
11470,215238,0.379,0.407,0.57,3.99e-05,1,0.145,-8.439,1,0.4479999999999999,187.998,3,0.5870000000000001,0
12529,187591,0.154,0.665,0.775,0.0,7,0.301,-5.504,1,0.0329,100.01,4,0.6829999999999999,0
6381,222426,0.287,0.7959999999999999,0.872,0.0,9,0.284,-6.722,0,0.0573,129.894,4,0.866,1
12318,199944,0.0052299999999999,0.804,0.823,2.77e-06,11,0.168,-3.4960000000000004,0,0.147,98.026,4,0.619,1
6404,145066,0.00031,0.574,0.926,0.478,11,0.386,-10.79,1,0.0562,113.097,4,0.609,0
14969,210893,8.14e-06,0.359,0.936,0.0,6,0.75,-4.458,0,0.0927,159.994,4,0.35,0
14127,230666,0.00505,0.5660000000000001,0.8320000000000001,0.0,8,0.127,-4.644,1,0.0603,175.028,4,0.86,0
16486,209355,0.0323,0.6709999999999999,0.8590000000000001,0.0,4,0.267,-3.922,0,0.0833,139.931,4,0.389,1
10556,202373,0.107,0.3979999999999999,0.66,0.0,1,0.121,-5.626,0,0.12,83.82799999999999,4,0.7190000000000001,0
4979,165000,0.508,0.71,0.757,7.5e-05,4,0.417,-8.149,1,0.0448,119.675,4,0.962,0
3994,210466,0.000135,0.466,0.784,0.0,7,0.2189999999999999,-5.01,1,0.0345,150.08700000000002,4,0.534,0
14811,180266,0.00494,0.616,0.961,0.0,11,0.078,-3.144,0,0.139,114.492,4,0.523,1
7246,166022,0.15,0.708,0.6579999999999999,1.59e-05,11,0.103,-8.617,0,0.2769999999999999,140.05,4,0.422,0
3444,190120,0.0986,0.648,0.861,0.0,8,0.0892,-6.7410000000000005,1,0.431,163.22,4,0.528,0
5348,247040,0.038,0.691,0.497,5.94e-06,11,0.0859,-13.248,1,0.0473,103.893,4,0.701,0
582,287320,0.0241,0.273,0.537,0.0,2,0.0922,-9.612,1,0.0306,81.814,4,0.2319999999999999,0
